localitate,judet,abreviere,cod postal
Buftea,Ilfov,IF,70000
Buciumeni,Ilfov,IF,70000
Otopeni,Ilfov,IF,75100
Odaile,Ilfov,IF,75100
1 Decembrie,Ilfov,IF,77005
Copaceni,Ilfov,IF,77006
Afumati,Ilfov,IF,77010
Balotesti,Ilfov,IF,77015
Dumbraveni,Ilfov,IF,77015
Saftica,Ilfov,IF,77015
Berceni,Ilfov,IF,77020
Bragadiru,Ilfov,IF,77025
Branesti,Ilfov,IF,77145
Islaz,Ilfov,IF,77031
Pasarea,Ilfov,IF,77032
Vadu Anei,Ilfov,IF,77033
Cernica,Ilfov,IF,77035
Balaceanca,Ilfov,IF,77035
Caldararu,Ilfov,IF,77037
Posta,Ilfov,IF,77038
Tanganu,Ilfov,IF,77039
Chiajna,Ilfov,IF,77040
Dudu,Ilfov,IF,77041
Rosu,Ilfov,IF,77042
Chitila,Ilfov,IF,77045
Rudeni,Ilfov,IF,77046
Ciolpani,Ilfov,IF,77050
Izvorani,Ilfov,IF,77051
Luparia,Ilfov,IF,77052
Piscu,Ilfov,IF,77053
Ciorogarla,Ilfov,IF,77055
Darvari,Ilfov,IF,77056
Clinceni,Ilfov,IF,77025
Olteni,Ilfov,IF,77061
Ordoreanu,Ilfov,IF,77062
Corbeanca,Ilfov,IF,77065
Ostratu,Ilfov,IF,77066
Petresti,Ilfov,IF,77067
Tamasi,Ilfov,IF,77068
Cornetu,Ilfov,IF,77070
Buda,Ilfov,IF,77071
Dascalu,Ilfov,IF,77075
Creata,Ilfov,IF,77076
Gagu,Ilfov,IF,77077
Runcu,Ilfov,IF,77078
Darasti-Ilfov,Ilfov,IF,77080
Dobroesti,Ilfov,IF,77085
Fundeni,Ilfov,IF,77085
Domnesti,Ilfov,IF,77090
Teghes,Ilfov,IF,77090
Dragomiresti-Vale,Ilfov,IF,77095
Dragomiresti-Deal,Ilfov,IF,77096
Zurbaua,Ilfov,IF,77097
Ganeasa,Ilfov,IF,77100
Cozieni,Ilfov,IF,77100
Moara Domneasca,Ilfov,IF,77100
Piteasca,Ilfov,IF,77100
Sindrilita,Ilfov,IF,77104
Glina,Ilfov,IF,77105
Catelu,Ilfov,IF,77106
Manolache,Ilfov,IF,77105
Gradistea,Ilfov,IF,77110
Sitaru,Ilfov,IF,77111
Gruiu,Ilfov,IF,77115
Lipia,Ilfov,IF,77116
Silistea Snagovului,Ilfov,IF,77117
Santu-Floresti,Ilfov,IF,77118
Jilava,Ilfov,IF,77120
Magurele,Ilfov,IF,77125
Alunisu,Ilfov,IF,77126
Dumitrana,Ilfov,IF,77127
Pruni,Ilfov,IF,77128
Varteju,Ilfov,IF,77129
Moara Vlasiei,Ilfov,IF,77130
Caciulati,Ilfov,IF,77131
Mogosoaia,Ilfov,IF,77135
Nuci,Ilfov,IF,77140
Balta Neagra,Ilfov,IF,77141
Merii Petchii,Ilfov,IF,77142
Micsunesti-Moara,Ilfov,IF,77140
Micsunestii Mari,Ilfov,IF,77144
Pantelimon,Ilfov,IF,77145
Peris,Ilfov,IF,77150
Balteni,Ilfov,IF,77151
Burias,Ilfov,IF,77152
Petrachioaia,Ilfov,IF,77155
Maineasca,Ilfov,IF,77156
Surlari,Ilfov,IF,77157
Vanatori,Ilfov,IF,77158
Popesti-Leordeni,Ilfov,IF,77160
Snagov,Ilfov,IF,77165
Ciofliceni,Ilfov,IF,77166
Tancabesti,Ilfov,IF,77167
Vladiceasca,Ilfov,IF,77168
Ghermanesti,Ilfov,IF,77170
Stefanestii de Jos,Ilfov,IF,77175
Cretuleasca,Ilfov,IF,77176
Stefanestii de Sus,Ilfov,IF,77177
Tunari,Ilfov,IF,77180
Dimieni,Ilfov,IF,77180
Vidra,Ilfov,IF,77186
Cretesti,Ilfov,IF,77186
Sintesti,Ilfov,IF,77187
Voluntari,Ilfov,IF,77190
Pipera (Voluntari),Ilfov,IF,77191
Bolintin-Vale,Giurgiu,GR,87015
Crivina,Giurgiu,GR,85101
Malu Spart,Giurgiu,GR,85102
Suseni,Giurgiu,GR,85103
Mihailesti,Giurgiu,GR,85200
Draganescu,Giurgiu,GR,85201
Novaci,Giurgiu,GR,85202
Popesti,Giurgiu,GR,85203
Adunatii-Copaceni,Giurgiu,GR,87005
Darasti-Vlasca,Giurgiu,GR,87006
Mogosesti,Giurgiu,GR,87007
Varlaam,Giurgiu,GR,87008
Baneasa,Giurgiu,GR,87010
Frasinu,Giurgiu,GR,87011
Pietrele,Giurgiu,GR,87012
Sfantu Gheorghe (Baneasa),Giurgiu,GR,87013
Bolintin-Deal,Giurgiu,GR,87015
Mihai Voda,Giurgiu,GR,87016
Bucsani,Giurgiu,GR,87020
Anghelesti,Giurgiu,GR,87021
Goleasca,Giurgiu,GR,87022
Obedeni,Giurgiu,GR,87023
Podisor,Giurgiu,GR,87024
Uiesti,Giurgiu,GR,87026
Vadu Lat,Giurgiu,GR,87027
Bulbucata,Giurgiu,GR,87030
Coteni,Giurgiu,GR,87031
Facau,Giurgiu,GR,87032
Teisori,Giurgiu,GR,87033
Buturugeni,Giurgiu,GR,87035
Padureni,Giurgiu,GR,87036
Podu Ilfovatului,Giurgiu,GR,87037
Posta,Giurgiu,GR,87038
Calugareni,Giurgiu,GR,87040
Branistari,Giurgiu,GR,87041
Crucea de Piatra,Giurgiu,GR,87042
Hulubesti,Giurgiu,GR,87043
Uzunu,Giurgiu,GR,87044
Clejani,Giurgiu,GR,87045
Neajlovu,Giurgiu,GR,87046
Podu Doamnei,Giurgiu,GR,87047
Sterea,Giurgiu,GR,87048
Colibasi,Giurgiu,GR,87050
Campurelu,Giurgiu,GR,87051
Comana,Giurgiu,GR,87055
Budeni,Giurgiu,GR,87056
Falastoaca,Giurgiu,GR,87057
Gradistea,Giurgiu,GR,87058
Vlad Tepes,Giurgiu,GR,87059
Crevedia Mare,Giurgiu,GR,87060
Crevedia Mica,Giurgiu,GR,87061
Dealu,Giurgiu,GR,87062
Gaiseanca,Giurgiu,GR,87063
Priboiu,Giurgiu,GR,87064
Sfantu Gheorghe (Crevedia Mare),Giurgiu,GR,87066
Daia,Giurgiu,GR,87070
Plopsoru,Giurgiu,GR,87071
Floresti-Stoenesti,Giurgiu,GR,87075
Floresti,Giurgiu,GR,87076
Palanca,Giurgiu,GR,87077
Stoenesti (Floresti-Stoenesti),Giurgiu,GR,87078
Fratesti,Giurgiu,GR,87080
Cetatea,Giurgiu,GR,87081
Remus,Giurgiu,GR,87082
Gaiseni,Giurgiu,GR,87085
Carpenisu,Giurgiu,GR,87086
Cascioarele (Gaiseni),Giurgiu,GR,87087
Podu Popa Nae,Giurgiu,GR,87088
Gaujani,Giurgiu,GR,87090
Cetatuia,Giurgiu,GR,87091
Pietrisu,Giurgiu,GR,87092
Ghimpati,Giurgiu,GR,87095
Copaciu,Giurgiu,GR,87096
Naipu,Giurgiu,GR,87097
Valea Plopilor,Giurgiu,GR,87098
Gogosari,Giurgiu,GR,87100
Draghiceanu,Giurgiu,GR,87101
Izvoru (Gogosari),Giurgiu,GR,87102
Ralesti,Giurgiu,GR,87103
Gostinari,Giurgiu,GR,87105
Mironesti,Giurgiu,GR,87106
Gostinu,Giurgiu,GR,87110
Gradinari,Giurgiu,GR,87115
Tantava,Giurgiu,GR,87116
Zorile,Giurgiu,GR,87117
Greaca,Giurgiu,GR,87120
Putu Greci,Giurgiu,GR,87121
Zboiu,Giurgiu,GR,87122
Hotarele,Giurgiu,GR,87125
Herasti,Giurgiu,GR,87126
Isvoarele,Giurgiu,GR,87127
Milosesti,Giurgiu,GR,87128
Teiusu,Giurgiu,GR,87129
Iepuresti,Giurgiu,GR,87130
Banesti,Giurgiu,GR,87131
Chirculesti,Giurgiu,GR,87132
Gorneni,Giurgiu,GR,87133
Stalpu,Giurgiu,GR,87134
Valter Maracineanu,Giurgiu,GR,87136
Izvoarele,Giurgiu,GR,87140
Chiriacu,Giurgiu,GR,87141
Dimitrie Cantemir,Giurgiu,GR,87142
Petru Rares,Giurgiu,GR,87143
Radu Voda,Giurgiu,GR,87144
Valea Bujorului,Giurgiu,GR,87146
Joita,Giurgiu,GR,87150
Bacu,Giurgiu,GR,87151
Cosoba,Giurgiu,GR,87152
Sabareni,Giurgiu,GR,87153
Letca Noua,Giurgiu,GR,87155
Letca Veche,Giurgiu,GR,87156
Milcovatu,Giurgiu,GR,87157
Marsa,Giurgiu,GR,87160
Mihai Bravu,Giurgiu,GR,87165
Ogrezeni,Giurgiu,GR,87170
Hobaia,Giurgiu,GR,87171
Oinacu,Giurgiu,GR,87175
Branistea,Giurgiu,GR,87176
Comasca,Giurgiu,GR,87177
Prundu,Giurgiu,GR,87180
Puieni,Giurgiu,GR,87181
Putineiu,Giurgiu,GR,87185
Hodivoaia,Giurgiu,GR,87186
Vieru,Giurgiu,GR,87187
Rasuceni,Giurgiu,GR,87190
Carapancea,Giurgiu,GR,87191
Cucuruzu,Giurgiu,GR,87192
Satu Nou,Giurgiu,GR,87193
Roata de Jos,Giurgiu,GR,87195
Cartojani,Giurgiu,GR,87196
Roata Mica,Giurgiu,GR,87197
Sadina,Giurgiu,GR,87198
Schitu,Giurgiu,GR,87200
Bila,Giurgiu,GR,87201
Camineasca,Giurgiu,GR,87202
Vlasin,Giurgiu,GR,87203
Singureni,Giurgiu,GR,87205
Cranguri,Giurgiu,GR,87206
Stejaru,Giurgiu,GR,87207
Slobozia,Giurgiu,GR,87210
Stanesti,Giurgiu,GR,87215
Balanu,Giurgiu,GR,87216
Ghizdaru,Giurgiu,GR,87217
Oncesti,Giurgiu,GR,87218
Stoenesti,Giurgiu,GR,87220
Ianculesti,Giurgiu,GR,87221
Mirau,Giurgiu,GR,87222
Toporu,Giurgiu,GR,87225
Tomulesti,Giurgiu,GR,87226
Ulmi,Giurgiu,GR,87230
Cascioarele (Ulmi),Giurgiu,GR,87231
Draganeasca,Giurgiu,GR,87232
Ghionea,Giurgiu,GR,87233
Icoana,Giurgiu,GR,87234
Mosteni,Giurgiu,GR,87236
Poenari,Giurgiu,GR,87237
Trestieni,Giurgiu,GR,87238
Valea Dragului,Giurgiu,GR,87240
Varasti,Giurgiu,GR,87245
Dobreni,Giurgiu,GR,87246
Vanatorii Mici,Giurgiu,GR,87250
Corbeanca,Giurgiu,GR,87251
Cupele,Giurgiu,GR,87252
Izvoru (Vanatorii Mici),Giurgiu,GR,87253
Poiana lui Stanga,Giurgiu,GR,87254
Valcelele,Giurgiu,GR,87256
Vanatorii Mari,Giurgiu,GR,87257
Zadariciu,Giurgiu,GR,87258
Vedea,Giurgiu,GR,87260
Malu,Giurgiu,GR,87261
Azuga,Prahova,PH,105100
Baicoi,Prahova,PH,105200
Dambu,Prahova,PH,105201
Liliesti,Prahova,PH,105202
Schela,Prahova,PH,105203
Tufeni,Prahova,PH,105200
Tintea,Prahova,PH,105200
Boldesti-Scaeni,Prahova,PH,105300
Seciu,Prahova,PH,105301
Breaza,Prahova,PH,105400
Breaza de Jos,Prahova,PH,105400
Breaza de Sus,Prahova,PH,105402
Frasinet,Prahova,PH,105406
Gura Beliei,Prahova,PH,105404
Irimesti,Prahova,PH,105405
Nistoresti,Prahova,PH,105406
Podu Corbului,Prahova,PH,105407
Podu Vadului,Prahova,PH,105408
Surdesti,Prahova,PH,105409
Valea Tarsei,Prahova,PH,105410
Busteni,Prahova,PH,105500
Poiana Tapului,Prahova,PH,105550
Campina,Prahova,PH,105600
Comarnic,Prahova,PH,105700
Ghiosesti,Prahova,PH,105701
Podu Lung,Prahova,PH,105702
Poiana,Prahova,PH,105703
Posada,Prahova,PH,105704
Mizil,Prahova,PH,105800
Fefelei,Prahova,PH,105801
Plopeni,Prahova,PH,105900
Sinaia,Prahova,PH,106100
Slanic,Prahova,PH,106200
Grosani,Prahova,PH,106201
Prajani,Prahova,PH,106202
Urlati,Prahova,PH,106300
Arionestii Noi,Prahova,PH,106301
Arionestii Vechi,Prahova,PH,106302
Cherba,Prahova,PH,106303
Jercalai,Prahova,PH,106304
Maruntis,Prahova,PH,106305
Orzoaia de Jos,Prahova,PH,106306
Orzoaia de Sus,Prahova,PH,106307
Schiau (Urlati),Prahova,PH,106308
Ulmi,Prahova,PH,106309
Valea Bobului,Prahova,PH,106310
Valea Crangului,Prahova,PH,106311
Valea Mieilor,Prahova,PH,106312
Valea Nucetului,Prahova,PH,106313
Valea Pietrei,Prahova,PH,106314
Valea Seman,Prahova,PH,106315
Valea Urloii,Prahova,PH,106316
Valenii de Munte,Prahova,PH,106400
Adunati,Prahova,PH,107005
Ocina de Jos,Prahova,PH,107006
Ocina de Sus,Prahova,PH,107007
Albesti-Paleologu,Prahova,PH,107010
Albesti-Muru,Prahova,PH,107011
Cioceni,Prahova,PH,107012
Vadu Parului,Prahova,PH,107013
Alunis,Prahova,PH,107015
Ostrovu,Prahova,PH,107016
Apostolache,Prahova,PH,107020
Buzota,Prahova,PH,107021
Marlogea,Prahova,PH,107022
Udresti,Prahova,PH,107023
Valea Cricovului,Prahova,PH,107024
Aricestii Rahtivani,Prahova,PH,107025
Buda (Aricestii Rahtivani),Prahova,PH,107026
Nedelea,Prahova,PH,107027
Stoenesti,Prahova,PH,107028
Targsoru Nou,Prahova,PH,107029
Aricestii Zeletin,Prahova,PH,107030
Albinari,Prahova,PH,107031
Baba Ana,Prahova,PH,107035
Ciresanu,Prahova,PH,107036
Conduratu,Prahova,PH,107037
Crangurile,Prahova,PH,107038
Satu Nou (Baba Ana),Prahova,PH,107039
Balta Doamnei,Prahova,PH,107040
Bara,Prahova,PH,107041
Curcubeu,Prahova,PH,107042
Lacu Turcului,Prahova,PH,107043
Baltesti,Prahova,PH,107045
Izesti,Prahova,PH,107046
Podenii Vechi,Prahova,PH,107047
Banesti,Prahova,PH,107050
Urleta,Prahova,PH,107051
Barcanesti,Prahova,PH,107055
Ghighiu,Prahova,PH,107056
Puscasi,Prahova,PH,107057
Romanesti,Prahova,PH,107058
Tatarani,Prahova,PH,107059
Berceni,Prahova,PH,107060
Cartierul Dambu,Prahova,PH,107061
Catunu (Berceni),Prahova,PH,107062
Corlatesti,Prahova,PH,107063
Moara Noua,Prahova,PH,107064
Bertea,Prahova,PH,107065
Lutu Rosu,Prahova,PH,107066
Blejoi,Prahova,PH,107070
Ploiestiori,Prahova,PH,107071
Tantareni,Prahova,PH,107072
Boldesti-Gradistea,Prahova,PH,107075
Boldesti,Prahova,PH,107076
Gradistea,Prahova,PH,107077
Brazi,Prahova,PH,107080
Batesti,Prahova,PH,107082
Brazii de Jos,Prahova,PH,107083
Brazii de Sus,Prahova,PH,107084
Negoiesti,Prahova,PH,107086
Popesti (Brazi),Prahova,PH,107087
Stejaru,Prahova,PH,107088
Colonia Brazi,Prahova,PH,107090
Brebu,Prahova,PH,107100
Brebu Megiesesc,Prahova,PH,107101
Pietriceaua,Prahova,PH,107102
Podu Cheii,Prahova,PH,107103
Brebu Manastirei,Prahova,PH,107100
Bucov,Prahova,PH,107110
Bighilin,Prahova,PH,107111
Chitorani,Prahova,PH,107112
Pleasa,Prahova,PH,107113
Valea Orlei,Prahova,PH,107114
Calugareni,Prahova,PH,107115
Valea Scheilor,Prahova,PH,107116
Carbunesti,Prahova,PH,107120
Gogeasca,Prahova,PH,107121
Ceptura,Prahova,PH,107125
Ceptura de Jos,Prahova,PH,107125
Malu Rosu,Prahova,PH,107127
Rotari,Prahova,PH,107128
Soimesti,Prahova,PH,107129
Ceptura de Sus,Prahova,PH,107130
Cerasu,Prahova,PH,107140
Slon,Prahova,PH,107141
Valea Borului,Prahova,PH,107142
Valea Bradetului,Prahova,PH,107143
Valea Lespezii,Prahova,PH,107144
Valea Tocii,Prahova,PH,107146
Chiojdeanca,Prahova,PH,107150
Nucet (Chiojdeanca),Prahova,PH,107151
Trenu,Prahova,PH,107152
Ciorani,Prahova,PH,107155
Cioranii de Sus,Prahova,PH,107156
Cioranii de Jos,Prahova,PH,107160
Cocorastii Mislii,Prahova,PH,107165
Goruna,Prahova,PH,107166
Tiparesti,Prahova,PH,107167
Colceag,Prahova,PH,107170
Inotesti,Prahova,PH,107171
Parepa-Rusani,Prahova,PH,107172
Valcelele,Prahova,PH,107173
Cornu,Prahova,PH,107175
Cornu de Sus (Cornu),Prahova,PH,107176
Valea Oprii,Prahova,PH,107177
Cornu de Jos (Cornu),Prahova,PH,107175
Cosminele,Prahova,PH,107185
Cosmina de Jos,Prahova,PH,107186
Cosmina de Sus,Prahova,PH,107187
Draghicesti,Prahova,PH,107188
Poiana Trestiei,Prahova,PH,107189
Drajna,Prahova,PH,107190
Catunu (Drajna),Prahova,PH,107190
Ciocrac,Prahova,PH,107192
Drajna de Jos,Prahova,PH,107190
Drajna de Sus,Prahova,PH,107194
Faget,Prahova,PH,107196
Ogretin,Prahova,PH,107197
Piatra (Drajna),Prahova,PH,107190
Pitigoi,Prahova,PH,107199
Plai,Prahova,PH,107201
Podurile,Prahova,PH,107202
Poiana Mierlei,Prahova,PH,107203
Draganesti,Prahova,PH,107210
Baraitaru,Prahova,PH,107211
Belciug,Prahova,PH,107212
Cornu de Jos (Draganesti),Prahova,PH,107180
Hatcarau,Prahova,PH,107214
Meri,Prahova,PH,107216
Tufani,Prahova,PH,107217
Dumbrava,Prahova,PH,107220
Ciupelnita,Prahova,PH,107221
Cornu de Sus (Dumbrava),Prahova,PH,107222
Trestienii de Jos,Prahova,PH,107223
Trestienii de Sus,Prahova,PH,107224
Zanoaga,Prahova,PH,107226
Dumbravesti,Prahova,PH,107230
Gavanel,Prahova,PH,107231
Malaestii de Jos,Prahova,PH,107232
Malaestii de Sus,Prahova,PH,107233
Plopeni (Dumbravesti),Prahova,PH,107234
Sfarleanca,Prahova,PH,107236
Fantanele,Prahova,PH,107240
Bozieni,Prahova,PH,107241
Ghinoaica,Prahova,PH,107242
Ungureni (Vadu Sapat),Prahova,PH,107244
Vadu Sapat,Prahova,PH,107244
Filipestii de Padure,Prahova,PH,107245
Ditesti,Prahova,PH,107246
Minieri,Prahova,PH,107247
Silistea Dealului,Prahova,PH,107248
Filipestii de Targ,Prahova,PH,107250
Bratasanca,Prahova,PH,107251
Ezeni,Prahova,PH,107252
Marginenii de Jos,Prahova,PH,107253
Ungureni (Filipestii de Targ),Prahova,PH,107254
Floresti,Prahova,PH,107255
Cap Rosu,Prahova,PH,107256
Calinesti,Prahova,PH,107257
Catina,Prahova,PH,107258
Novacesti,Prahova,PH,107259
Fulga,Prahova,PH,107260
Fulga de Jos,Prahova,PH,107261
Fulga de Sus,Prahova,PH,107262
Gherghita,Prahova,PH,107265
Fanari (Olari),Prahova,PH,107266
Independenta,Prahova,PH,107267
Malamuc,Prahova,PH,107268
Olari,Prahova,PH,107269
Olarii Vechi,Prahova,PH,107271
Ungureni (Gherghita),Prahova,PH,107272
Gorgota,Prahova,PH,107275
Crivina,Prahova,PH,107276
Fanari (Gorgota),Prahova,PH,107277
Poienarii Apostoli,Prahova,PH,107278
Potigrafu,Prahova,PH,107280
Gornet,Prahova,PH,107285
Bogdanesti,Prahova,PH,107286
Cuib,Prahova,PH,107287
Nucet (Gornet),Prahova,PH,107288
Gornet-Cricov,Prahova,PH,107290
Coserele,Prahova,PH,107291
Dobrota,Prahova,PH,107292
Priseaca,Prahova,PH,107293
Tarculesti,Prahova,PH,107294
Valea Seaca,Prahova,PH,107296
Gura Vadului,Prahova,PH,107300
Persunari (Gura Vadului),Prahova,PH,107301
Tohani,Prahova,PH,107302
Gura Vitioarei,Prahova,PH,107305
Bughea de Jos,Prahova,PH,107306
Fagetu,Prahova,PH,107307
Fundeni,Prahova,PH,107305
Poiana Copaceni,Prahova,PH,107309
Iordacheanu,Prahova,PH,107310
Mocesti,Prahova,PH,107311
Plavia,Prahova,PH,107312
Straosti,Prahova,PH,107313
Valea Cucului,Prahova,PH,107314
Varbila,Prahova,PH,107316
Izvoarele,Prahova,PH,107320
Cernesti,Prahova,PH,107321
Chiritesti,Prahova,PH,107322
Homoraciu,Prahova,PH,107323
Malu Vanat,Prahova,PH,107324
Schiulesti,Prahova,PH,107326
Jugureni,Prahova,PH,107330
Boboci,Prahova,PH,107331
Marginea Padurii,Prahova,PH,107332
Valea Unghiului,Prahova,PH,107333
Lapos,Prahova,PH,107515
Glod,Prahova,PH,107336
Laposel,Prahova,PH,107337
Pietricica,Prahova,PH,107338
Lipanesti,Prahova,PH,107340
Satu Nou (Lipanesti),Prahova,PH,107341
Sipotu,Prahova,PH,107342
Zamfira,Prahova,PH,107343
Magurele,Prahova,PH,107345
Coada Malului,Prahova,PH,107346
Iazu,Prahova,PH,107347
Magureni,Prahova,PH,107350
Cocorastii Caplii,Prahova,PH,107351
Lunca Prahovei,Prahova,PH,107352
Maneciu,Prahova,PH,107365
Cheia,Prahova,PH,107356
Chiciureni,Prahova,PH,107357
Costeni,Prahova,PH,107358
Facaieni,Prahova,PH,107359
Gheaba,Prahova,PH,107361
Maneciu-Pamanteni,Prahova,PH,107362
Manastirea Suzana,Prahova,PH,107363
Plaietu,Prahova,PH,107364
Maneciu-Ungureni,Prahova,PH,107365
Manesti,Prahova,PH,107375
Baltita,Prahova,PH,107376
Chesnoiu,Prahova,PH,107377
Coada Izvorului,Prahova,PH,107378
Cocorastii Colt,Prahova,PH,107379
Cocorastii Grind,Prahova,PH,107381
Coltu de Jos,Prahova,PH,107382
Ghioldum,Prahova,PH,107383
Gura Crivatului,Prahova,PH,107384
Persunari (Cocorastii Colt),Prahova,PH,107386
Piatra (Cocorastii Colt),Prahova,PH,107387
Satu de Sus,Prahova,PH,107388
Zalhanaua,Prahova,PH,107389
Pacureti,Prahova,PH,107395
Barzila,Prahova,PH,107396
Curmatura,Prahova,PH,107397
Matita,Prahova,PH,107398
Slavu,Prahova,PH,107399
Paulesti,Prahova,PH,107400
Cocosesti,Prahova,PH,107401
Gageni,Prahova,PH,107402
Paulestii Noi,Prahova,PH,107403
Plopu,Prahova,PH,107405
Galmeia,Prahova,PH,107406
Harsa,Prahova,PH,107407
Nisipoasa,Prahova,PH,107408
Podenii Noi,Prahova,PH,107410
Ghiocel,Prahova,PH,107411
Mehedinta,Prahova,PH,107412
Nevesteasca,Prahova,PH,107413
Podu lui Galben,Prahova,PH,107414
Popesti (Podenii Noi),Prahova,PH,107416
Rahova,Prahova,PH,107417
Salcioara,Prahova,PH,107418
Sfacaru,Prahova,PH,107419
Valea Dulce,Prahova,PH,107421
Poiana Campina,Prahova,PH,107425
Bobolia,Prahova,PH,107426
Pietrisu,Prahova,PH,107427
Ragman,Prahova,PH,107428
Poienarii Burchii,Prahova,PH,107430
Carbunari,Prahova,PH,107431
Ologeni,Prahova,PH,107432
Pioresti,Prahova,PH,107433
Podu Valeni,Prahova,PH,107434
Poienarii Vechi,Prahova,PH,107436
Poienarii-Rali,Prahova,PH,107437
Tatarai,Prahova,PH,107438
Posesti,Prahova,PH,107440
Bodesti,Prahova,PH,107441
Merdeala,Prahova,PH,107442
Nucsoara de Jos,Prahova,PH,107443
Nucsoara de Sus,Prahova,PH,107444
Posestii-Pamanteni,Prahova,PH,107446
Posestii-Ungureni,Prahova,PH,107447
Tarlesti,Prahova,PH,107448
Valea Plopului,Prahova,PH,107449
Valea Screzii,Prahova,PH,107451
Valea Stupinii,Prahova,PH,107452
Predeal-Sarari,Prahova,PH,107460
Bobicesti,Prahova,PH,107461
Poienile,Prahova,PH,107462
Predeal,Prahova,PH,107463
Sarari,Prahova,PH,107464
Saratel,Prahova,PH,107466
Tulburea,Prahova,PH,107467
Tulburea-Valeni,Prahova,PH,107468
Vitioara de Sus,Prahova,PH,107469
Zambroaia,Prahova,PH,107471
Provita de Jos,Prahova,PH,107475
Draganeasa,Prahova,PH,107476
Piatra (Provita de Jos),Prahova,PH,107477
Provita de Sus,Prahova,PH,107480
Izvoru,Prahova,PH,107481
Plaiu (Provita de Sus),Prahova,PH,107581
Valea Bradului,Prahova,PH,107483
Puchenii Mari,Prahova,PH,107485
Miroslavesti,Prahova,PH,107486
Moara,Prahova,PH,107487
Odaile,Prahova,PH,107488
Pietrosani,Prahova,PH,107489
Puchenii Mici,Prahova,PH,107491
Puchenii-Mosneni,Prahova,PH,107492
Rafov,Prahova,PH,107495
Antofiloaia,Prahova,PH,107496
Buchilasi,Prahova,PH,107497
Buda (Rafov),Prahova,PH,107498
Goga,Prahova,PH,107499
Malaiesti,Prahova,PH,107501
Moara Domneasca,Prahova,PH,107502
Palanca,Prahova,PH,107495
Sicrita,Prahova,PH,107504
Salcia,Prahova,PH,107505
Salciile,Prahova,PH,107510
Sangeru,Prahova,PH,107515
Butuci,Prahova,PH,107516
Miresu Mare,Prahova,PH,107517
Miresu Mic,Prahova,PH,107518
Piatra Mica,Prahova,PH,107519
Tisa,Prahova,PH,107521
Scorteni,Prahova,PH,107525
Bordenii Mari,Prahova,PH,107526
Bordenii Mici,Prahova,PH,107527
Mislea,Prahova,PH,107528
Sarca,Prahova,PH,107529
Secaria,Prahova,PH,107530
Starchiojd,Prahova,PH,107535
Batrani,Prahova,PH,107536
Bradet,Prahova,PH,107537
Gresia,Prahova,PH,107538
Poiana Mare,Prahova,PH,107539
Rotarea,Prahova,PH,107541
Valea Anei,Prahova,PH,107542
Zmeuret,Prahova,PH,107543
Surani,Prahova,PH,107545
Pacuri,Prahova,PH,107546
Sirna,Prahova,PH,107550
Bratesti,Prahova,PH,107551
Coceana,Prahova,PH,107552
Habud,Prahova,PH,107553
Tariceni,Prahova,PH,107554
Varnita,Prahova,PH,107556
Soimari,Prahova,PH,107560
Lopatnita,Prahova,PH,107561
Magura,Prahova,PH,107562
Sotrile,Prahova,PH,107565
Lunca Mare,Prahova,PH,107566
Plaiu Campinei,Prahova,PH,107567
Plaiu Cornului,Prahova,PH,107568
Seciuri,Prahova,PH,107569
Vistieru,Prahova,PH,107571
Stefesti,Prahova,PH,107575
Scurtesti,Prahova,PH,107576
Tarsoreni,Prahova,PH,107577
Talea,Prahova,PH,107580
Plaiu (Talea),Prahova,PH,107581
Tataru,Prahova,PH,107585
Podgoria,Prahova,PH,107586
Silistea,Prahova,PH,107587
Targsoru Vechi,Prahova,PH,107590
Stancesti,Prahova,PH,107591
Strejnicu,Prahova,PH,107592
Zahanaua,Prahova,PH,107593
Teisani,Prahova,PH,107595
Bughea de Sus,Prahova,PH,107596
Olteni,Prahova,PH,107597
Stubeiu,Prahova,PH,107598
Valea Stalpului,Prahova,PH,107599
Telega,Prahova,PH,107600
Bosilcesti,Prahova,PH,107601
Bustenari,Prahova,PH,107602
Doftana,Prahova,PH,107603
Melicesti,Prahova,PH,107604
Tontesti,Prahova,PH,107606
Tinosu,Prahova,PH,107610
Pisculesti,Prahova,PH,107611
Predesti,Prahova,PH,107612
Tomsani,Prahova,PH,107615
Loloiasca,Prahova,PH,107616
Magula,Prahova,PH,107617
Satucu,Prahova,PH,107618
Valea Calugareasca,Prahova,PH,107620
Arva,Prahova,PH,107621
Coslegi,Prahova,PH,107622
Darvari,Prahova,PH,107623
Pantazi,Prahova,PH,107624
Rachieri,Prahova,PH,107626
Radila,Prahova,PH,107627
Schiau (Valea Calugareasca),Prahova,PH,107628
Valea Larga,Prahova,PH,107629
Valea Mantei,Prahova,PH,107631
Valea Nicovani,Prahova,PH,107632
Valea Poienii,Prahova,PH,107633
Valea Popii,Prahova,PH,107634
Valea Ursoii,Prahova,PH,107636
Varfurile,Prahova,PH,107637
Valea Doftanei,Prahova,PH,107640
Traisteni,Prahova,PH,107641
Tesila,Prahova,PH,107645
Varbilau,Prahova,PH,107650
Cotofenesti,Prahova,PH,107651
Livadea,Prahova,PH,107652
Podu Ursului,Prahova,PH,107653
Poiana Varbilau,Prahova,PH,107654
Valcanesti,Prahova,PH,107655
Carjari,Prahova,PH,107656
Trestioara,Prahova,PH,107657
